ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
C03BA11,"Les Laboratoires Servier, Франция",Indapamide,"таблетки пролонгированного действия, с пленочным покрытием 1,5мг в контурной ячейковой упаковке №15х2",Indapamide,"https://rceth.by//NDfiles/instr/3697_98_03_08_14_16_19_p.pdf,https://rceth.by//NDfiles/instr/3697_98_03_08_14_16_19_s.pdf","Les Laboratoires Servier, Франция/Les Laboratoires Servier Industrie, Франция",3697/98/03/08/14/16/19,оригинальное,по рецепту,09.08.2019,,2 года,АРИФОН РЕТАРД,бессрочно
M01AX17,"Medochemie Ltd., Кипр",Nimesulide,"таблетки 100мг в блистерах в упаковке №10х1, №10х2",Nimesulide,https://rceth.by//NDfiles/instr/6825_04_08_09_15_16_20_i.pdf,"Medochemie Ltd., Кипр",6825/04/08/09/15/16/20,генерик,по рецепту,10.08.2020,,3 года,АПОНИЛ,бессрочно
A10AB06,"Свикс Биофарма ООО, Республика Беларусь",Insulin glulisine,раствор для подкожного введения 100 ЕД/мл в картриджах 3мл в шприц-ручках СолоСтар в упаковке №5,Insulin glulisine,"https://rceth.by//NDfiles/instr/8505_08_08_13_18_23_p.pdf,https://rceth.by//NDfiles/instr/8505_08_08_13_18_23_s.pdf","Sanofi-Aventis Deutschland GmbH, Германия",8505/08/08/13/18/23,оригинальное,по рецепту,01.03.2018,,2 года,АПИДРА,бессрочно
C09BB03,"Фармтехнология ООО, Республика Беларусь",Lisinopril and amlodipine,таблетки (10мг+5мг) в контурной ячейковой упаковке №10х3,Lisinopril and amlodipine,"https://rceth.by//NDfiles/instr/22_09_1935_s.pdf,https://rceth.by//NDfiles/instr/22_09_1935_p.pdf","Фармтехнология ООО, Республика Беларусь",22/09/1935,генерик,по рецепту,13.01.2017,,2 года,АМЛОПРИЛ,бессрочно
B01AX05,"Aspen Pharma Trading Limited, Ирландия",Fondaparinux,"раствор для внутривенного и подкожного введения 2,5мг/0,5мл в шприцах в поддонах в упаковке №5х2",Fondaparinux,https://rceth.by//NDfiles/instr/7997_06_11_15_17_20_i.pdf,"Aspen Notre Dame de Bondeville, Франция",7997/06/11/15/17/20,оригинальное,по рецепту,25.08.2020,,3 года,АРИКСТРА,бессрочно
,"Фармтехнология ООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Cadila Pharmaceuticals Limited, Индия",2696/22,не определено,,04.02.2022,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Минскинтеркапс УП, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Glochem Industries Limited, Индия",1705/13/18,,,13.06.2018,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Рубикон ООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Cadila Pharmaceuticals Ltd., Индия",1898/14/19,не определено,,02.09.2019,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Indo Gulf Company, Индия",1590/12/17,,,25.09.2017,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"SUVAN Lifesciences Pvt. Ltd., Индия",2331/17,,,30.11.2017,,4 года,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Лекфарм СООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Rakshit Pharmaceuticals Limited, Индия",2179/16/20,не определено,,28.10.2016,,5 лет,АМЛОДИПИНА БЕСИЛАТ,бессрочно
,"Фармтехнология ООО, Республика Беларусь",Amlodipine,субстанция,Amlodipine,,"Changzhou Ruiming Pharmaceutical Co., Ltd., Китай",1720/13/18/21,не определено,,31.12.2018,,3 года,АМЛОДИПИНА БЕСИЛАТ,бессрочно
C08CA01,"Лекфарм СООО, Республика Беларусь",Amlodipine,"таблетки 10мг в контурной ячейковой упаковке №10х2, №10х3, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/16_11_1401_s.pdf,https://rceth.by//NDfiles/instr/16_11_1401_p.pdf","Лекфарм СООО, Республика Беларусь",16/11/1401,генерик,по рецепту,04.11.2016,,2 года,АМЛОДИПИН,бессрочно
C08CA01,"Белмедпрепараты РУП, Республика Беларусь",Amlodipine,"таблетки 10мг в контурной ячейковой упаковке №10х1, №10х3, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/24_01_2708_s.pdf,https://rceth.by//NDfiles/instr/24_01_2708_p.pdf","Белмедпрепараты РУП, Республика Беларусь",24/01/2708,генерик,по рецепту,21.06.2022,,2 года,АМЛОДИПИН,бессрочно
C08CA01,"Белмедпрепараты РУП, Республика Беларусь",Amlodipine,"таблетки 5мг в контурной ячейковой упаковке №10х1, №10х3, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/24_02_1726_p.pdf,https://rceth.by//NDfiles/instr/24_02_1726_s.pdf","Белмедпрепараты РУП, Республика Беларусь",24/02/1726,генерик,по рецепту,25.08.2020,,2 года,АМЛОДИПИН,бессрочно
C08CA01,"Фармтехнология ООО, Республика Беларусь",Amlodipine,"таблетки 10мг в контурной ячейковой упаковке №10х3, №10х6,таблетки 5мг в контурной ячейковой упаковке №10х3, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/22_05_1841_p.pdf,https://rceth.by//NDfiles/instr/22_05_1841_s.pdf","Фармтехнология ООО, Республика Беларусь",22/05/1841,генерик,по рецепту,25.11.2015,,3 года,АМЛОДИПИН ФТ,бессрочно
C08CA01,"Maxpharma Baltija UAB, Литовская Республика",Amlodipine,"таблетки 10мг в блистерах в упаковке №14х2, №14х10,таблетки 5мг в блистерах в упаковке №14х2, №14х10",Amlodipine,https://rceth.by//NDfiles/instr/5687_02_07_07_12_18_19_i.pdf,"Intas Pharmaceuticals Ltd., Индия",5687/02/07/07/12/18/19,генерик,по рецепту,30.05.2018,,3 года,АМЛОДИН,бессрочно
C09BB04,"KRKA, d.d., Словения",Perindopril and amlodipine,"таблетки 4мг/10мг в блистерах в упаковке №10х3,таблетки 4мг/5мг в блистерах в упаковке №10х3,таблетки 8мг/10мг в блистерах в упаковке №10х3,таблетки 8мг/5мг в блистерах в упаковке №10х3",Perindopril and amlodipine,"https://rceth.by//NDfiles/instr/9986_12_17_s.pdf,https://rceth.by//NDfiles/instr/9986_12_17_p.pdf","KRKA, d.d., Словения",9986/12/17,генерик,по рецепту,24.10.2017,,3 года,АМЛЕССА,бессрочно
J01CR02,"Белмедпрепараты РУП, Республика Беларусь",Amoxicillin and beta-lactamase inhibitor,"таблетки, покрытые  оболочкой, 250мг/125мг во флаконах №15 в упаковке №1",Amoxicillin and beta-lactamase inhibitor,"https://rceth.by//NDfiles/instr/20_01_1671_p.pdf,https://rceth.by//NDfiles/instr/20_01_1671_s.pdf","Белмедпрепараты РУП, Республика Беларусь",20/01/1671,генерик,по рецепту,23.01.2020,,2 года,АМКЛАВ,бессрочно
J01CR02,"Белмедпрепараты РУП, Республика Беларусь",Amoxicillin and beta-lactamase inhibitor,"порошок  для приготовления  раствора для внутривенного введения 1000мг/200мг во флаконах в упаковке №1, №5, №40,порошок  для приготовления  раствора для внутривенного введения 500мг/100мг во флаконах в упаковке №1, №5, №40",Amoxicillin and beta-lactamase inhibitor,"https://rceth.by//NDfiles/instr/16_07_1899_s.pdf,https://rceth.by//NDfiles/instr/16_07_1899_p.pdf","Белмедпрепараты РУП, Республика Беларусь",16/07/1899,генерик,по рецепту,05.07.2016,,2 года,АМКЛАВ,бессрочно
C08CA01,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Amlodipine,"таблетки 10мг в контурной ячейковой упаковке №10х2, №10х3, №10х6,таблетки 5мг в контурной ячейковой упаковке №10х2, №10х3, №10х6",Amlodipine,"https://rceth.by//NDfiles/instr/18_12_2092_p.pdf,https://rceth.by//NDfiles/instr/18_12_2092_s.pdf","Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",18/12/2092,генерик,по рецепту,31.12.2018,,"2,5 года",АМЛОДИПИН ФАРМЛЭНД,бессрочно
